season,Cabrillo I_1,Cabrillo I_2,Cabrillo I_3,Cabrillo I_4,Cabrillo I_5,Cabrillo I_6,Cabrillo II_1,Cabrillo II_2,Cabrillo II_3,Cabrillo II_4,Cabrillo II_5,Cabrillo II_6,Cabrillo II_7,Cabrillo II_8,Cabrillo II_9,Cabrillo II_10,Cabrillo III_1,Cabrillo III_2,Cabrillo III_3,Cabrillo III_4,Cabrillo III_5,Cabrillo III_6
FA90,19.1,18.78,6.05,12.73,7,13.37,10.82,9.23,7.64,5.41,19.74,11.14,NA,NA,NA,NA,10.19,7,9.23,8.91,24.19,19.74
SP90,17.19,17.19,7.96,8.59,8.91,5.09,8.28,7,5.41,3.5,15.6,11.46,NA,NA,NA,NA,8.28,7.32,9.55,6.05,26.1,17.83
FA91,10.19,20.69,5.41,10.5,8.91,9.23,7.64,10.19,7,6.68,22.28,11.78,NA,NA,NA,NA,7,6.37,6.68,9.55,22.6,17.51
SP91,16.87,17.83,5.73,12.41,8.91,12.41,10.82,8.91,7.32,4.46,24.19,11.14,NA,NA,NA,NA,9.87,7.32,8.91,8.59,24.83,19.1
FA92,8.59,21.96,5.41,13.69,13.37,21.33,13.05,7.96,7.64,7.64,24.51,9.87,NA,NA,NA,NA,17.19,7.96,8.91,12.41,28.01,23.87
SP92,10.5,19.1,4.77,10.19,11.14,12.1,8.28,5.73,7.64,5.41,21.33,10.5,NA,NA,NA,NA,8.91,5.73,6.05,7.64,18.46,11.46
SU92,10.19,17.19,4.46,11.78,10.19,8.91,7.96,4.46,7.32,5.73,22.6,10.19,NA,NA,NA,NA,12.41,6.37,8.59,10.5,27.37,17.51
FA93,8.91,21.65,5.41,14.96,16.23,13.05,14.01,8.59,7.64,4.14,16.55,9.87,NA,NA,NA,NA,11.46,8.28,7.96,10.5,20.69,23.24
SP93,8.91,17.19,3.5,11.78,14.32,15.6,10.19,9.55,6.68,3.82,21.65,10.19,NA,NA,NA,NA,13.69,7,8.91,9.87,24.19,16.55
FA94,7.64,16.55,4.46,10.19,12.41,7.64,9.23,7.64,7.64,2.23,12.73,7.32,NA,NA,NA,NA,11.78,5.41,6.37,6.68,15.92,17.19
SP94,8.59,17.51,5.09,12.41,15.6,11.78,11.46,7,8.28,3.18,13.69,9.23,NA,NA,NA,NA,7,8.59,9.55,8.28,17.83,14.96
